dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon,city,country_code
1654074219,2022-06-01T09:03:39.000Z,43200,Wellington,-41.2866,174.7756,14.25,14,12.17,15.03,994,,,87,13.38,10,,,,,75,202,Thunderstorm,thunderstorm with heavy rain,11n,Wellington,NZ
1654077924,2022-06-01T10:05:24.000Z,43200,Wellington,-41.2866,174.7756,14.87,14.74,13.28,15.03,993,,,89,8.75,320,,,,,75,501,Rain,moderate rain,10n,Wellington,NZ
1654081412,2022-06-01T11:03:32.000Z,43200,Wellington,-41.2866,174.7756,15.12,14.88,12.73,15.81,994,,,84,12.35,350,,,,,75,803,Clouds,broken clouds,04n,Wellington,NZ
1654084654,2022-06-01T11:57:34.000Z,43200,Wellington,-41.2866,174.7756,15.12,14.91,13.28,15.81,994,,,85,11.83,350,,,,,57,803,Clouds,broken clouds,04n,Wellington,NZ
1654088323,2022-06-01T12:58:43.000Z,43200,Wellington,-41.2866,174.7756,15.68,15.55,13.84,16.15,993,,,86,11.83,360,,,,,75,803,Clouds,broken clouds,04n,Wellington,NZ
1654092002,2022-06-01T14:00:02.000Z,43200,Wellington,-41.2866,174.7756,15.68,15.55,13.84,16.15,993,,,86,13.38,350,,,,,75,803,Clouds,broken clouds,04n,Wellington,NZ
1654095332,2022-06-01T14:55:32.000Z,43200,Wellington,-41.2866,174.7756,15.68,15.47,13.84,16.15,993,,,83,11.83,350,,,,,75,803,Clouds,broken clouds,04n,Wellington,NZ
1654099019,2022-06-01T15:56:59.000Z,43200,Wellington,-41.2866,174.7756,15.68,15.52,13.28,16.81,993,,,85,11.83,340,,,,,75,500,Rain,light rain,10n,Wellington,NZ
1654103039,2022-06-01T17:03:59.000Z,43200,Wellington,-41.2866,174.7756,14.87,14.74,13.28,15.81,992,,,89,10.8,350,,,,,75,501,Rain,moderate rain,10n,Wellington,NZ
1654106724,2022-06-01T18:05:24.000Z,43200,Wellington,-41.2866,174.7756,15.12,15.04,12.73,15.81,992,,,90,11.32,340,,,,,75,500,Rain,light rain,10n,Wellington,NZ
1654110159,2022-06-01T19:02:39.000Z,43200,Wellington,-41.2866,174.7756,14.01,13.84,12.17,14.48,991,,,91,11.83,10,,,,,75,721,Haze,haze,50n,Wellington,NZ
1654113736,2022-06-01T20:02:16.000Z,43200,Wellington,-41.2866,174.7756,14.01,13.79,12.73,14.81,993,,,89,11.83,360,,,,,75,803,Clouds,broken clouds,04d,Wellington,NZ
